paper_id,title,authors,institution_affiliations,venue,publication_year,publication_date,url,arxiv_url,doi,research_category,technology_tags,investor_relevance,commercialization_potential
flashattention_2022,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,"[""Tri Dao"", ""Daniel Y. Fu"", ""Stefano Ermon"", ""Atri Rudra"", ""Christopher Re""]","[""Stanford University"", ""University at Buffalo""]",NeurIPS,2022,2022-05-27,https://arxiv.org/abs/2205.14135,https://arxiv.org/abs/2205.14135,,"[""inference_acceleration"", ""memory_hbm_cxl_near_memory""]","[""attention"", ""memory_hierarchy"", ""LLM_inference""]",IO-aware exact attention materially reduced memory traffic and became a core optimization in modern model stacks.,"{""possible_productization_paths"": [""Optimized inference kernels"", ""Compiler/runtime products"", ""Accelerator-aware model serving""], ""possible_startup_angles"": [""Optimized inference kernels"", ""Compiler/runtime products"", ""Accelerator-aware model serving""], ""rationale"": ""IO-aware exact attention materially reduced memory traffic and became a core optimization in modern model stacks."", ""score"": 5}"
vllm_2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,"[""Woosuk Kwon"", ""Zhuohan Li"", ""Siyuan Zhuang"", ""Ying Sheng"", ""Lianmin Zheng"", ""Cody Hao Yu"", ""Joseph Gonzalez"", ""Hao Zhang"", ""Ion Stoica""]","[""UC Berkeley""]",SOSP,2023,2023-09-12,https://arxiv.org/abs/2309.06180,https://arxiv.org/abs/2309.06180,,"[""inference_acceleration"", ""memory_hbm_cxl_near_memory""]","[""KV_cache"", ""LLM_inference"", ""runtime""]",PagedAttention virtualizes KV-cache allocation and helped establish model-serving software as a strategic control point.,"{""possible_productization_paths"": [""Inference orchestration"", ""KV-cache appliances"", ""Heterogeneous accelerator runtimes""], ""possible_startup_angles"": [""Inference orchestration"", ""KV-cache appliances"", ""Heterogeneous accelerator runtimes""], ""rationale"": ""PagedAttention virtualizes KV-cache allocation and helped establish model-serving software as a strategic control point."", ""score"": 5}"
eyeriss_v2_2018,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices,"[""Yu-Hsin Chen"", ""Tushar Krishna"", ""Joel Emer"", ""Vivienne Sze""]","[""MIT""]",JSSC,2019,2018-07-20,https://arxiv.org/abs/1807.07928,https://arxiv.org/abs/1807.07928,,"[""edge_ai_iot_wearables"", ""automotive_robotics_ai_silicon""]","[""edge_AI"", ""sparse_inference"", ""dataflow""]",The hierarchical mesh and sparse dataflow illustrate how edge accelerators can adapt to diverse neural-network shapes.,"{""possible_productization_paths"": [""Licensable NPU IP"", ""Edge inference silicon"", ""Architecture exploration tools""], ""possible_startup_angles"": [""Licensable NPU IP"", ""Edge inference silicon"", ""Architecture exploration tools""], ""rationale"": ""The hierarchical mesh and sparse dataflow illustrate how edge accelerators can adapt to diverse neural-network shapes."", ""score"": 4}"
timeloop_2019,Timeloop: A Systematic Approach to DNN Accelerator Evaluation,"[""Angshuman Parashar"", ""Priyanka Raina"", ""Yakun Sophia Shao"", ""Yu-Hsin Chen"", ""Victor A. Ying"", ""Anand Mukkara"", ""Rangharajan Venkatesan"", ""Brucek Khailany"", ""Stephen W. Keckler"", ""Joel Emer""]","[""NVIDIA"", ""MIT""]",ISPASS,2019,2019-03-01,https://arxiv.org/abs/1811.04045,https://arxiv.org/abs/1811.04045,,"[""datacenter_ai_accelerators"", ""eda_compilers_runtimes_devtools""]","[""architecture_exploration"", ""dataflow"", ""EDA""]",A systematic mapping and modeling framework lowers the cost of evaluating accelerator architectures and memory hierarchies.,"{""possible_productization_paths"": [""AI accelerator EDA"", ""Workload-to-hardware mapping"", ""Design-space exploration services""], ""possible_startup_angles"": [""AI accelerator EDA"", ""Workload-to-hardware mapping"", ""Design-space exploration services""], ""rationale"": ""A systematic mapping and modeling framework lowers the cost of evaluating accelerator architectures and memory hierarchies."", ""score"": 4}"
mlir_2020,MLIR: Scaling Compiler Infrastructure for Domain Specific Computation,"[""Chris Lattner"", ""Mehdi Amini"", ""Uday Bondhugula"", ""Albert Cohen"", ""Andy Davis"", ""Jacques Pienaar"", ""River Riddle"", ""Tatiana Shpeisman"", ""Nicolas Vasilache"", ""Oleksandr Zinenko""]","[""Google"", ""SAI""]",CGO,2021,2020-02-25,https://arxiv.org/abs/2002.11054,https://arxiv.org/abs/2002.11054,,"[""eda_compilers_runtimes_devtools"", ""custom_asic_chiplets""]","[""MLIR"", ""compiler"", ""domain_specific""]",MLIR provides reusable compiler infrastructure that has become foundational for heterogeneous and domain-specific hardware.,"{""possible_productization_paths"": [""Compiler platforms"", ""Hardware enablement"", ""Domain-specific optimization tooling""], ""possible_startup_angles"": [""Compiler platforms"", ""Hardware enablement"", ""Domain-specific optimization tooling""], ""rationale"": ""MLIR provides reusable compiler infrastructure that has become foundational for heterogeneous and domain-specific hardware."", ""score"": 5}"
pond_cxl_2022,Pond: CXL-Based Memory Pooling Systems for Cloud Platforms,"[""Haris Volos"", ""Gurudatt K. Kamath"", ""Jian Huang"", ""Madan Musuvathi"", ""Paul Turner""]","[""Meta"", ""Microsoft""]",ASPLOS,2023,2022-03-01,https://arxiv.org/abs/2203.00241,https://arxiv.org/abs/2203.00241,,"[""memory_hbm_cxl_near_memory"", ""pcie_cxl_retimers_connectivity""]","[""CXL"", ""memory_pooling"", ""cloud""]",Demonstrates the system and fleet-level economic case for disaggregated CXL memory pooling.,"{""possible_productization_paths"": [""CXL switches"", ""Memory pooling appliances"", ""Fleet memory orchestration""], ""possible_startup_angles"": [""CXL switches"", ""Memory pooling appliances"", ""Fleet memory orchestration""], ""rationale"": ""Demonstrates the system and fleet-level economic case for disaggregated CXL memory pooling."", ""score"": 5}"
photonic_tensor_core_2021,Parallel convolutional processing using an integrated photonic tensor core,"[""Johannes Feldmann"", ""Nathan Youngblood"", ""Mike Karpov"", ""Hannes Gehring"", ""Xuan Li"", ""Mohammadreza Stappers"", ""Mikhail Le Gallo"", ""Xavier Fu"", ""A. Sebastian"", ""Tobias J. Kippenberg"", ""Wolfram H. P. Pernice"", ""Harish Bhaskaran""]","[""University of Muenster"", ""University of Oxford"", ""EPFL"", ""IBM Research""]",Nature,2021,2021-01-06,https://doi.org/10.1038/s41586-020-03070-1,,10.1038/s41586-020-03070-1,"[""optical_interconnect_photonics_dsp"", ""datacenter_ai_accelerators""]","[""photonic_compute"", ""silicon_photonics"", ""AI_accelerator""]","Integrated photonic matrix operations show a path toward high-throughput, low-latency analog optical compute.","{""possible_productization_paths"": [""Photonic accelerator IP"", ""Optical inference modules"", ""Photonic EDA and calibration""], ""possible_startup_angles"": [""Photonic accelerator IP"", ""Optical inference modules"", ""Photonic EDA and calibration""], ""rationale"": ""Integrated photonic matrix operations show a path toward high-throughput, low-latency analog optical compute."", ""score"": 4}"
cerebras_gpt_2023,Cerebras-GPT: Open Compute-Optimal Language Models Trained on the Cerebras Wafer-Scale Cluster,"[""Nolan Dey"", ""Gurpreet Gosal"", ""Zhiming Chen"", ""Hemant Khachane"", ""William Marshall"", ""Ribhu Pathria"", ""Marvin Tom"", ""Joel Hestness""]","[""Cerebras Systems""]",arXiv,2023,2023-04-06,https://arxiv.org/abs/2304.03208,https://arxiv.org/abs/2304.03208,,"[""datacenter_ai_accelerators""]","[""wafer_scale"", ""LLM_training"", ""open_models""]",Connects a differentiated accelerator architecture to reproducible model-training outcomes and an open model family.,"{""possible_productization_paths"": [""Alternative AI cloud"", ""Training systems"", ""Hardware-optimized foundation models""], ""possible_startup_angles"": [""Alternative AI cloud"", ""Training systems"", ""Hardware-optimized foundation models""], ""rationale"": ""Connects a differentiated accelerator architecture to reproducible model-training outcomes and an open model family."", ""score"": 4}"
megascale_2024,"MegaScale: Scaling Large Language Model Training to More Than 10,000 GPUs","[""Ziheng Jiang"", ""Haibin Lin"", ""Yinmin Zhong"", ""Qi Huang"", ""Yangrui Chen"", ""Zhengyan Zhang"", ""Yanghua Peng"", ""Xi Yang"", ""Cong Xie"", ""Shenggui Li"", ""Hongxin Zhang"", ""Xiaowen Gong"", ""Yue Yu"", ""Deli Chen"", ""Zhi Zhang"", ""Chao Wu"", ""Yiqing Zheng"", ""Zhilin Zhao"", ""Jie Wu"", ""Xiaohan Li"", ""Zhiqiang Xie"", ""Pengfei Cheng"", ""Qianxiang Wang"", ""Bin Jia"", ""Hao Wang"", ""Jin Jiang"", ""Zhenzhong Zhang"", ""Peng Wu"", ""Lian Zhao"", ""Donghui Li"", ""Jianping Wei"", ""Jianfeng Zhan"", ""Bin Cui"", ""Wei Lin""]","[""ByteDance"", ""Peking University""]",NSDI,2024,2024-02-24,https://arxiv.org/abs/2402.15627,https://arxiv.org/abs/2402.15627,,"[""networking_switching_nic_dpu"", ""datacenter_ai_accelerators""]","[""distributed_training"", ""AI_networking"", ""fault_tolerance""]","Shows that networking, topology, reliability, and observability become first-order product opportunities at frontier scale.","{""possible_productization_paths"": [""AI fabric software"", ""Cluster observability"", ""Fault-tolerant training infrastructure""], ""possible_startup_angles"": [""AI fabric software"", ""Cluster observability"", ""Fault-tolerant training infrastructure""], ""rationale"": ""Shows that networking, topology, reliability, and observability become first-order product opportunities at frontier scale."", ""score"": 5}"
tensor_dimm_2019,TensorDIMM: A Practical Near-Memory Processing Architecture for Embeddings and Tensor Operations,"[""Youngeun Kwon"", ""Yunjae Lee"", ""Minsoo Rhu""]","[""KAIST""]",MICRO,2019,2019-01-10,https://arxiv.org/abs/1901.03035,https://arxiv.org/abs/1901.03035,,"[""memory_hbm_cxl_near_memory"", ""inference_acceleration""]","[""near_memory_compute"", ""embeddings"", ""recommender""]",Near-memory processing for embeddings anticipated the bandwidth pressure now visible in recommenders and LLM serving.,"{""possible_productization_paths"": [""Near-memory accelerators"", ""Embedding appliances"", ""KV-cache memory systems""], ""possible_startup_angles"": [""Near-memory accelerators"", ""Embedding appliances"", ""KV-cache memory systems""], ""rationale"": ""Near-memory processing for embeddings anticipated the bandwidth pressure now visible in recommenders and LLM serving."", ""score"": 4}"
