researcher_id,name,current_affiliation,prior_affiliations,location,research_areas,related_categories,notable_papers,notable_patents,possible_startup_angle,commercialization_signal,investor_notes
song_han,Song Han,MIT,"[""Stanford University""]","Cambridge, Massachusetts","[""efficient AI"", ""model compression"", ""AI accelerators""]","[""edge_ai_iot_wearables"", ""datacenter_ai_accelerators""]",[],[],"Efficient model deployment, sparsity tooling, or accelerator/software co-design","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Repeated research-to-product translation through efficient-AI software and hardware work."", ""score"": 5}",Repeated research-to-product translation through efficient-AI software and hardware work.
vivienne_sze,Vivienne Sze,MIT,[],"Cambridge, Massachusetts","[""energy-efficient AI"", ""computer architecture"", ""video processing""]","[""edge_ai_iot_wearables"", ""automotive_robotics_ai_silicon""]",[],[],"Edge accelerator IP, design tools, or workload-aware optimization","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Leading body of work on energy-aware accelerator design and deployable edge AI."", ""score"": 5}",Leading body of work on energy-aware accelerator design and deployable edge AI.
onur_mutlu,Onur Mutlu,ETH Zurich,"[""Carnegie Mellon University""]","Zurich, Switzerland","[""memory systems"", ""processing-in-memory"", ""computer architecture""]","[""memory_hbm_cxl_near_memory""]",[],[],"Near-memory compute, memory reliability, or CXL system software","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Large research portfolio and industry collaboration around memory bottlenecks and processing-in-memory."", ""score"": 5}",Large research portfolio and industry collaboration around memory bottlenecks and processing-in-memory.
david_patterson,David Patterson,UC Berkeley,"[""Google""]","Berkeley, California","[""RISC-V"", ""computer architecture"", ""domain-specific accelerators""]","[""riscv_processor_ip"", ""datacenter_ai_accelerators""]",[],[],"RISC-V ecosystem, accelerator benchmarking, or technical advisory network","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Co-created RISC-V and remains central to open architecture commercialization networks."", ""score"": 5}",Co-created RISC-V and remains central to open architecture commercialization networks.
ramin_farjadrad,Ramin Farjadrad,Eliyan,"[""Aquantia""]","Santa Clara, California","[""chiplets"", ""SerDes"", ""die-to-die interconnect""]","[""custom_asic_chiplets"", ""pcie_cxl_retimers_connectivity""]",[],[],"Die-to-die IP, chiplet platforms, or advanced packaging connectivity","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Serial founder with directly relevant high-speed interface and chiplet commercialization experience."", ""score"": 5}",Serial founder with directly relevant high-speed interface and chiplet commercialization experience.
vladimir_stojanovic,Vladimir Stojanovic,UC Berkeley / Ayar Labs,"[""MIT""]","Berkeley, California","[""silicon photonics"", ""integrated circuits"", ""optical I/O""]","[""optical_interconnect_photonics_dsp""]",[],[],"Optical chiplets, photonic link architecture, or mixed-signal photonics","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Research and company formation bridge around in-package optical I/O."", ""score"": 5}",Research and company formation bridge around in-package optical I/O.
nicholas_harris,Nicholas Harris,Lightmatter,"[""MIT""]","Mountain View, California","[""photonic computing"", ""silicon photonics"", ""AI systems""]","[""optical_interconnect_photonics_dsp""]",[],[],"Photonic interconnect, photonic compute, or optical system software","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Founder translating integrated photonics research into AI interconnect and compute products."", ""score"": 5}",Founder translating integrated photonics research into AI interconnect and compute products.
kunle_olukotun,Kunle Olukotun,Stanford University / SambaNova Systems,[],"Stanford, California","[""parallel computing"", ""dataflow"", ""AI systems""]","[""datacenter_ai_accelerators""]",[],[],"Dataflow systems, AI infrastructure, or architecture-led company formation","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Long record of architecture research, founder activity, and commercial system building."", ""score"": 5}","Long record of architecture research, founder activity, and commercial system building."
naveen_verma,Naveen Verma,Princeton University / EnCharge AI,[],"Princeton, New Jersey","[""in-memory compute"", ""mixed-signal circuits"", ""AI accelerators""]","[""inference_acceleration"", ""edge_ai_iot_wearables""]",[],[],"In-memory inference, mixed-signal accelerators, or edge AI systems","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Academic work has already produced a venture-backed in-memory-compute spinout."", ""score"": 5}",Academic work has already produced a venture-backed in-memory-compute spinout.
priyanka_raina,Priyanka Raina,Stanford University,"[""NVIDIA""]","Stanford, California","[""domain-specific architectures"", ""accelerator design"", ""EDA""]","[""datacenter_ai_accelerators"", ""eda_compilers_runtimes_devtools""]",[],[],"Accelerator EDA, mapping tools, or domain-specific architecture","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Works across architecture, mapping, and hardware design with strong industry relevance."", ""score"": 4}","Works across architecture, mapping, and hardware design with strong industry relevance."
boris_murmann,Boris Murmann,University of Hawaii,"[""Stanford University""]","Honolulu, Hawaii","[""mixed-signal IC"", ""data converters"", ""open-source silicon""]","[""custom_asic_chiplets"", ""edge_ai_iot_wearables""]",[],[],"Analog IP, chiplet interfaces, or open mixed-signal design infrastructure","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Strong mixed-signal and open-silicon network with relevance to interface and sensing startups."", ""score"": 4}",Strong mixed-signal and open-silicon network with relevance to interface and sensing startups.
subhasish_mitra,Subhasish Mitra,Stanford University,[],"Stanford, California","[""3D integration"", ""nano systems"", ""hardware reliability""]","[""advanced_packaging_chiplets_substrates"", ""datacenter_ai_accelerators""]",[],[],"Monolithic 3D systems, resilient accelerators, or new-device integration","{""evidence"": [""industry_collaboration"", ""patent_activity"", ""conference_keynote"", ""open_source_project""], ""rationale"": ""Research combines new devices, 3D integration, and system architecture with substantial commercialization potential."", ""score"": 5}","Research combines new devices, 3D integration, and system architecture with substantial commercialization potential."
